temperature,humidity,rainfall,wind_speed,pressure,disaster
30,90,124,12,1007,Flood
30,91,39,55,977,Cyclone
36,76,28,4,1006,Normal
35,51,0,11,1020,Normal
39,24,0,3,1007,Heatwave
30,92,134,18,1000,Flood
32,92,221,16,995,Flood
32,51,37,2,1014,Normal
31,80,196,16,1001,Flood
31,75,17,18,1014,Normal
31,84,37,53,994,Cyclone
32,90,206,15,1002,Flood
39,41,3,13,1013,Heatwave
29,82,243,11,1000,Flood
30,92,215,11,995,Flood
27,79,138,5,996,Flood
29,57,18,9,1016,Normal
32,68,10,5,1010,Normal
34,66,32,10,1005,Normal
32,91,150,4,995,Flood
30,56,5,14,1012,Normal
30,96,81,31,995,Cyclone
42,22,2,15,1006,Heatwave
32,93,75,55,976,Cyclone
30,64,1,3,1015,Normal
37,60,6,11,1008,Normal
28,48,35,11,1009,Normal
25,85,44,46,987,Cyclone
29,91,97,13,1005,Flood
27,94,53,34,980,Cyclone
28,92,35,39,990,Cyclone
27,94,26,53,989,Cyclone
25,77,7,38,981,Cyclone
27,79,14,39,978,Cyclone
28,88,80,42,991,Cyclone
32,64,37,17,1009,Normal
44,33,4,10,1007,Heatwave
41,43,5,15,1012,Heatwave
41,41,10,13,1005,Heatwave
42,34,5,5,1008,Heatwave
30,72,11,18,1013,Normal
33,88,98,10,1003,Flood
27,85,105,15,1003,Flood
30,77,47,33,992,Cyclone
35,65,12,9,1017,Normal
39,28,8,4,1010,Heatwave
34,76,1,14,1015,Normal
36,62,26,17,1020,Normal
27,85,15,48,979,Cyclone
43,32,10,9,1007,Heatwave
34,62,26,10,1007,Normal
27,96,64,52,990,Cyclone
43,41,4,3,1005,Heatwave
30,91,100,51,980,Cyclone
43,34,6,7,1006,Heatwave
26,91,51,32,991,Cyclone
34,65,38,10,1005,Normal
44,20,0,10,1009,Heatwave
29,60,26,17,1012,Normal
37,48,39,5,1011,Normal
35,54,14,16,1013,Normal
30,60,33,15,1010,Normal
32,91,54,47,978,Cyclone
27,78,103,9,1002,Flood
40,32,7,4,1006,Heatwave
35,56,3,10,1017,Normal
39,42,5,6,1010,Heatwave
42,28,3,4,1010,Heatwave
27,86,208,8,998,Flood
31,46,39,6,1012,Normal
26,76,35,43,995,Cyclone
42,40,5,4,1013,Heatwave
27,84,59,30,994,Cyclone
31,77,60,49,980,Cyclone
28,87,15,41,982,Cyclone
29,85,18,32,985,Cyclone
29,77,21,2,1018,Normal
33,95,184,7,1002,Flood
32,91,71,49,980,Cyclone
30,78,108,14,1004,Flood
27,91,168,13,1008,Flood
32,77,78,34,991,Cyclone
29,71,26,12,1019,Normal
39,35,7,15,1008,Heatwave
45,41,5,4,1009,Heatwave
28,76,20,7,1020,Normal
40,37,4,15,1005,Heatwave
35,75,22,12,1017,Normal
42,36,10,7,1003,Heatwave
28,95,194,7,1008,Flood
27,76,50,47,985,Cyclone
29,84,167,9,1003,Flood
29,79,191,3,1001,Flood
40,27,5,15,1005,Heatwave
31,71,2,12,1020,Normal
32,57,27,5,1012,Normal
30,89,121,14,1006,Flood
28,85,96,13,995,Flood
29,83,218,3,1005,Flood
35,63,25,3,1019,Normal
33,52,34,7,1011,Normal
32,93,88,36,985,Cyclone
40,24,10,10,1006,Heatwave
43,31,1,15,1009,Heatwave
28,78,91,10,1010,Flood
28,87,135,4,996,Flood
40,24,9,6,1004,Heatwave
42,22,5,12,1009,Heatwave
28,85,26,32,991,Cyclone
35,52,9,17,1014,Normal
27,91,170,16,1008,Flood
32,96,77,50,995,Cyclone
44,29,0,13,1009,Heatwave
42,41,1,10,1014,Heatwave
26,95,90,43,991,Cyclone
28,92,230,11,995,Flood
40,22,2,7,1012,Heatwave
32,77,19,45,994,Cyclone
29,74,8,16,1015,Normal
41,39,3,13,1004,Heatwave
28,86,91,48,989,Cyclone
41,45,7,3,1012,Heatwave
29,65,16,12,1008,Normal
28,78,107,16,1002,Flood
41,43,6,5,1006,Heatwave
29,80,142,14,1004,Flood
27,85,122,16,1010,Flood
32,93,220,8,1003,Flood
41,45,2,11,1003,Heatwave
42,28,10,3,1015,Heatwave
31,78,41,37,984,Cyclone
33,87,243,9,999,Flood
26,90,61,50,984,Cyclone
40,32,7,8,1013,Heatwave
44,23,10,13,1015,Heatwave
45,36,1,8,1009,Heatwave
29,74,19,14,1013,Normal
25,84,30,31,981,Cyclone
32,59,25,9,1014,Normal
28,92,219,12,995,Flood
37,62,35,2,1011,Normal
35,51,27,13,1019,Normal
33,79,197,6,1007,Flood
29,81,107,7,1003,Flood
26,87,7,40,980,Cyclone
31,85,121,17,1007,Flood
30,49,10,2,1018,Normal
28,93,184,9,998,Flood
26,93,99,54,985,Cyclone
30,86,41,42,988,Cyclone
40,45,8,8,1011,Heatwave
39,25,2,12,1013,Heatwave
26,84,15,54,980,Cyclone
41,37,10,8,1003,Heatwave
41,20,9,13,1015,Heatwave
44,23,10,13,1003,Heatwave
42,37,3,11,1011,Heatwave
31,86,37,53,975,Cyclone
40,39,0,14,1015,Heatwave
30,87,45,50,983,Cyclone
30,77,49,37,995,Cyclone
26,87,44,53,985,Cyclone
39,33,5,13,1015,Heatwave
42,29,10,11,1005,Heatwave
30,64,38,11,1019,Normal
30,88,107,10,1001,Flood
43,28,2,7,1010,Heatwave
30,71,9,4,1020,Normal
32,89,77,54,993,Cyclone
43,39,6,4,1015,Heatwave
33,65,34,4,1009,Normal
31,94,120,4,997,Flood
28,82,106,5,1008,Flood
30,78,179,11,1009,Flood
30,88,151,5,1003,Flood
42,38,5,12,1007,Heatwave
30,89,192,17,998,Flood
42,43,1,8,1009,Heatwave
30,96,235,13,1009,Flood
32,94,41,54,989,Cyclone
32,88,94,4,1010,Flood
30,92,18,52,991,Cyclone
41,41,4,8,1005,Heatwave
45,44,8,6,1012,Heatwave
28,86,245,5,1000,Flood
25,86,41,32,995,Cyclone
29,90,155,7,1001,Flood
45,23,5,11,1008,Heatwave
37,47,11,17,1019,Normal
30,84,88,52,987,Cyclone
29,83,95,44,981,Cyclone
31,67,16,12,1013,Normal
30,95,23,37,978,Cyclone
25,77,90,50,987,Cyclone
32,91,24,31,989,Cyclone
45,39,0,7,1005,Heatwave
33,83,97,5,1002,Flood
29,91,222,18,999,Flood
35,48,13,10,1009,Normal
35,51,33,16,1005,Normal
26,92,74,39,984,Cyclone
34,69,9,17,1006,Normal
33,51,10,12,1018,Normal
28,87,197,13,997,Flood
30,84,182,4,1000,Flood
27,83,11,50,990,Cyclone
42,27,5,4,1013,Heatwave
45,41,8,7,1010,Heatwave
31,93,103,4,998,Flood
29,93,12,41,991,Cyclone
30,62,9,4,1006,Normal
43,41,10,11,1003,Heatwave
32,66,39,14,1007,Normal
45,28,4,8,1004,Heatwave
31,80,30,55,994,Cyclone
44,38,8,14,1008,Heatwave
27,95,14,35,995,Cyclone
32,75,7,4,1017,Normal
37,75,29,15,1013,Normal
30,64,5,9,1008,Normal
25,95,70,48,982,Cyclone
28,94,198,4,1002,Flood
32,83,9,54,995,Cyclone
32,81,156,12,1008,Flood
31,95,47,34,991,Cyclone
41,43,2,4,1007,Heatwave
30,75,7,8,1019,Normal
28,78,30,55,979,Cyclone
31,90,172,10,999,Flood
30,77,37,12,1008,Normal
31,95,117,16,999,Flood
30,59,24,6,1011,Normal
42,43,0,7,1012,Heatwave
26,82,62,41,975,Cyclone
35,73,16,9,1013,Normal
